cv_fold,snp_count,model,score
6,10,ElasticNet,0.76
6,10,Random Forest,0.77
6,10,SVR,0.77
6,52,Ridge,0.71
6,52,Lasso,0.67
6,52,ElasticNet,0.71
6,52,Random Forest,0.7
6,52,SVR,0.65
6,100,Ridge,0.79
6,100,Lasso,0.68
6,100,ElasticNet,0.8
6,100,Random Forest,0.79
6,100,SVR,0.77
6,500,Ridge,0.82
6,500,Lasso,0.73
6,500,ElasticNet,0.87
6,500,Random Forest,0.82
6,500,SVR,0.88
6,2000,Ridge,0.7
6,2000,Lasso,0.71
6,2000,ElasticNet,0.91
6,2000,Random Forest,0.78
6,2000,SVR,0.92
6,5000,Ridge,0.9
6,5000,Lasso,0.57
6,5000,ElasticNet,0.91
6,5000,Random Forest,0.79
6,5000,SVR,0.91
6,10000,Ridge,0.91
6,10000,Lasso,0.67
6,10000,ElasticNet,0.89
6,10000,Random Forest,0.76
6,10000,SVR,0.93
6,All,Ridge,0.45
6,All,Lasso,0.43
6,All,ElasticNet,0.6
6,All,Random Forest,0.42
6,All,SVR,0.49
7,10,Ridge,0.81
7,10,Lasso,0.81
7,10,ElasticNet,0.81
7,10,Random Forest,0.76
7,10,SVR,0.81
7,52,Ridge,0.84
7,52,Lasso,0.75
7,52,ElasticNet,0.85
7,52,Random Forest,0.78
7,52,SVR,0.83
7,100,Ridge,0.86
7,100,Lasso,0.73
7,100,ElasticNet,0.87
7,100,Random Forest,0.83
7,100,SVR,0.83
7,500,Ridge,0.87
7,500,Lasso,0.77
7,500,ElasticNet,0.9
7,500,Random Forest,0.84
7,500,SVR,0.87
7,2000,Ridge,0.6
7,2000,Lasso,0.8
7,2000,ElasticNet,0.9
7,2000,Random Forest,0.82
7,2000,SVR,0.93
7,5000,Ridge,0.9
7,5000,Lasso,0.73
7,5000,ElasticNet,0.93
7,5000,Random Forest,0.85
7,5000,SVR,0.94
7,10000,Ridge,0.91
7,10000,Lasso,0.73
7,10000,ElasticNet,0.91
7,10000,Random Forest,0.85
7,10000,SVR,0.93
7,All,Ridge,0.61
7,All,Lasso,0.57
7,All,ElasticNet,0.49
7,All,Random Forest,0.59
7,All,SVR,0.61
8,10,Ridge,0.67
8,10,Lasso,0.64
8,10,ElasticNet,0.68
8,10,Random Forest,0.61
8,10,SVR,0.67
8,52,Ridge,0.79
8,52,Lasso,0.74
8,52,ElasticNet,0.81
8,52,Random Forest,0.72
8,52,SVR,0.77
8,100,Ridge,0.83
8,100,Lasso,0.74
8,100,ElasticNet,0.84
8,100,Random Forest,0.75
8,100,SVR,0.81
8,500,Ridge,0.76
8,500,Lasso,0.73
8,500,ElasticNet,0.85
8,500,Random Forest,0.76
8,500,SVR,0.84
8,2000,Ridge,0.82
8,2000,Lasso,0.68
8,2000,ElasticNet,0.88
8,2000,Random Forest,0.73
8,2000,SVR,0.89
8,5000,Ridge,0.87
8,5000,Lasso,0.59
8,5000,ElasticNet,0.86
8,5000,Random Forest,0.77
8,5000,SVR,0.89
8,10000,Ridge,0.87
8,10000,Lasso,0.54
8,10000,ElasticNet,0.88
8,10000,Random Forest,0.72
8,10000,SVR,0.89
8,All,Ridge,0.35
8,All,Lasso,0.45
8,All,ElasticNet,0.45
8,All,Random Forest,0.46
8,All,SVR,0.38
9,10,Ridge,0.64
9,10,Lasso,0.59
9,10,ElasticNet,0.63
9,10,Random Forest,0.6
9,10,SVR,0.65
9,52,Ridge,0.78
9,52,Lasso,0.61
9,52,ElasticNet,0.77
9,52,Random Forest,0.66
9,52,SVR,0.81
9,100,Ridge,0.78
9,100,Lasso,0.63
9,100,ElasticNet,0.77
9,100,Random Forest,0.63
9,100,SVR,0.77
9,500,Ridge,0.82
9,500,Lasso,0.56
9,500,ElasticNet,0.81
9,500,Random Forest,0.64
9,500,SVR,0.85
9,2000,Ridge,0.66
9,2000,Lasso,0.58
9,2000,ElasticNet,0.82
9,2000,Random Forest,0.56
9,2000,SVR,0.86
9,5000,Ridge,0.85
