cv_fold,snp_count,model,score
6,All,Logistic Regression,0.76
6,All,Naive Bayes,0.76
6,All,Random Forest,0.74
6,All,SVC,0.74
7,1,Logistic Regression,0.64
7,1,Naive Bayes,0.71
7,1,Random Forest,0.64
7,1,SVC,0.64
7,10,Logistic Regression,0.83
7,10,Naive Bayes,0.81
7,10,Random Forest,0.81
7,10,SVC,0.88
7,50,Logistic Regression,0.9
7,50,Naive Bayes,0.86
7,50,Random Forest,0.9
7,50,SVC,0.9
7,100,Logistic Regression,0.98
7,100,Naive Bayes,0.88
7,100,Random Forest,0.88
7,100,SVC,0.86
7,500,Logistic Regression,0.9
7,500,Naive Bayes,0.88
7,500,Random Forest,0.9
7,500,SVC,1.0
7,2000,Logistic Regression,0.93
7,2000,Naive Bayes,0.88
7,2000,Random Forest,0.93
7,2000,SVC,0.88
7,5000,Logistic Regression,0.93
7,5000,Naive Bayes,0.93
7,5000,Random Forest,0.93
7,5000,SVC,0.95
7,All,Logistic Regression,0.74
7,All,Naive Bayes,0.83
7,All,Random Forest,0.81
7,All,SVC,0.76
8,1,Logistic Regression,0.52
8,1,Naive Bayes,0.48
8,1,Random Forest,0.52
8,1,SVC,0.52
8,10,Logistic Regression,0.76
8,10,Naive Bayes,0.79
8,10,Random Forest,0.81
8,10,SVC,0.79
8,50,Logistic Regression,0.81
8,50,Naive Bayes,0.83
8,50,Random Forest,0.76
8,50,SVC,0.71
8,100,Logistic Regression,0.88
8,100,Naive Bayes,0.83
8,100,Random Forest,0.88
8,100,SVC,0.83
8,500,Logistic Regression,0.9
8,500,Naive Bayes,0.81
8,500,Random Forest,0.86
8,500,SVC,0.88
8,2000,Logistic Regression,0.9
8,2000,Naive Bayes,0.83
8,2000,Random Forest,0.88
8,2000,SVC,0.9
8,5000,Logistic Regression,0.9
8,5000,Naive Bayes,0.86
8,5000,Random Forest,0.86
8,5000,SVC,0.88
8,All,Logistic Regression,0.62
8,All,Naive Bayes,0.76
8,All,Random Forest,0.74
8,All,SVC,0.67
9,1,Logistic Regression,0.71
9,1,Naive Bayes,0.6
9,1,Random Forest,0.71
9,1,SVC,0.71
9,10,Logistic Regression,0.74
9,10,Naive Bayes,0.64
9,10,Random Forest,0.69
9,10,SVC,0.79
9,50,Logistic Regression,0.74
9,50,Naive Bayes,0.62
9,50,Random Forest,0.71
9,50,SVC,0.74
9,100,Logistic Regression,0.76
9,100,Naive Bayes,0.57
9,100,Random Forest,0.64
9,100,SVC,0.76
9,500,Logistic Regression,0.81
9,500,Naive Bayes,0.6
9,500,Random Forest,0.67
9,500,SVC,0.88
9,2000,Logistic Regression,0.88
9,2000,Naive Bayes,0.76
9,2000,Random Forest,0.71
9,2000,SVC,0.88
9,5000,Logistic Regression,0.86
9,5000,Naive Bayes,0.81
9,5000,Random Forest,0.67
9,5000,SVC,0.86
9,All,Logistic Regression,0.57
9,All,Naive Bayes,0.57
9,All,Random Forest,0.6
9,All,SVC,0.6
10,1,Logistic Regression,0.5
10,1,Naive Bayes,0.48
10,1,Random Forest,0.5
10,1,SVC,0.5
10,10,Logistic Regression,0.71
10,10,Naive Bayes,0.79
10,10,Random Forest,0.81
10,10,SVC,0.74
10,50,Logistic Regression,0.9
10,50,Naive Bayes,0.79
10,50,Random Forest,0.93
10,50,SVC,0.88
10,100,Logistic Regression,0.95
10,100,Naive Bayes,0.81
10,100,Random Forest,0.93
10,100,SVC,0.86
10,500,Logistic Regression,0.93
10,500,Naive Bayes,0.79
10,500,Random Forest,0.88
10,500,SVC,0.9
10,2000,Logistic Regression,0.98
10,2000,Naive Bayes,0.88
10,2000,Random Forest,0.88
10,2000,SVC,0.95
10,5000,Logistic Regression,0.98
10,5000,Naive Bayes,0.93
10,5000,Random Forest,0.86
10,5000,SVC,0.98
10,All,Logistic Regression,0.69
10,All,Naive Bayes,0.79
10,All,Random Forest,0.76
10,All,SVC,0.69
11,1,Logistic Regression,0.6
11,1,Naive Bayes,0.62
11,1,Random Forest,0.6
11,1,SVC,0.6
11,10,Logistic Regression,0.74
11,10,Naive Bayes,0.76
11,10,Random Forest,0.79
11,10,SVC,0.79
11,50,Logistic Regression,0.9
11,50,Naive Bayes,0.81
11,50,Random Forest,0.83
11,50,SVC,0.9
11,100,Logistic Regression,0.95
11,100,Naive Bayes,0.79
11,100,Random Forest,0.83
11,100,SVC,0.93
11,500,Logistic Regression,0.93
11,500,Naive Bayes,0.81
11,500,Random Forest,0.83
11,500,SVC,0.93
11,2000,Logistic Regression,1.0
11,2000,Naive Bayes,0.9
11,2000,Random Forest,0.86
11,2000,SVC,0.98
11,5000,Logistic Regression,0.98
11,5000,Naive Bayes,0.86
11,5000,Random Forest,0.83
11,5000,SVC,0.98
11,All,Logistic Regression,0.71
11,All,Naive Bayes,0.74
11,All,Random Forest,0.74
11,All,SVC,0.71
12,1,Logistic Regression,0.57
12,1,Naive Bayes,0.62
12,1,Random Forest,0.57
12,1,SVC,0.57
12,10,Logistic Regression,0.86
12,10,Naive Bayes,0.74
12,10,Random Forest,0.86
12,10,SVC,0.86
12,50,Logistic Regression,0.88
12,50,Naive Bayes,0.86
12,50,Random Forest,0.83
12,50,SVC,0.86
12,100,Logistic Regression,0.9
12,100,Naive Bayes,0.86
12,100,Random Forest,0.88
12,100,SVC,0.93
12,500,Logistic Regression,1.0
12,500,Naive Bayes,0.9
12,500,Random Forest,0.98
12,500,SVC,0.98
12,2000,Logistic Regression,0.98
12,2000,Naive Bayes,0.93
12,2000,Random Forest,1.0
12,2000,SVC,0.98
12,5000,Logistic Regression,0.98
12,5000,Naive Bayes,0.95
12,5000,Random Forest,1.0
12,5000,SVC,0.95
12,All,Logistic Regression,0.76
12,All,Naive Bayes,0.86
12,All,Random Forest,0.83
12,All,SVC,0.81
13,1,Logistic Regression,0.55
13,1,Naive Bayes,0.62
13,1,Random Forest,0.55
13,1,SVC,0.55
13,10,Logistic Regression,0.79
13,10,Naive Bayes,0.83
13,10,Random Forest,0.74
13,10,SVC,0.83
13,50,Logistic Regression,0.76
13,50,Naive Bayes,0.76
13,50,Random Forest,0.74
13,50,SVC,0.71
13,100,Logistic Regression,0.83
13,100,Naive Bayes,0.81
13,100,Random Forest,0.79
13,100,SVC,0.81
13,500,Logistic Regression,0.88
13,500,Naive Bayes,0.83
13,500,Random Forest,0.81
13,500,SVC,0.86
13,2000,Logistic Regression,0.88
13,2000,Naive Bayes,0.83
13,2000,Random Forest,0.81
13,2000,SVC,0.86
13,5000,Logistic Regression,0.86
13,5000,Naive Bayes,0.83
13,5000,Random Forest,0.81
13,5000,SVC,0.86
13,All,Logistic Regression,0.71
13,All,Naive Bayes,0.81
13,All,Random Forest,0.74
13,All,SVC,0.69
14,1,Logistic Regression,0.71
14,1,Naive Bayes,0.69
14,1,Random Forest,0.71
14,1,SVC,0.71
14,10,Logistic Regression,0.79
14,10,Naive Bayes,0.69
14,10,Random Forest,0.79
14,10,SVC,0.79
14,50,Logistic Regression,0.9
14,50,Naive Bayes,0.79
14,50,Random Forest,0.81
14,50,SVC,0.95
14,100,Logistic Regression,0.93
14,100,Naive Bayes,0.79
14,100,Random Forest,0.86
14,100,SVC,0.83
14,500,Logistic Regression,0.93
14,500,Naive Bayes,0.79
14,500,Random Forest,0.76
14,500,SVC,0.93
14,2000,Logistic Regression,0.93
14,2000,Naive Bayes,0.88
14,2000,Random Forest,0.81
14,2000,SVC,0.9
14,5000,Logistic Regression,0.95
14,5000,Naive Bayes,0.88
14,5000,Random Forest,0.83
14,5000,SVC,0.95
14,All,Logistic Regression,0.62
14,All,Naive Bayes,0.71
14,All,Random Forest,0.74
14,All,SVC,0.64
15,1,Logistic Regression,0.57
15,1,Naive Bayes,0.55
15,1,Random Forest,0.57
15,1,SVC,0.57
15,10,Logistic Regression,0.81
15,10,Naive Bayes,0.79
15,10,Random Forest,0.81
15,10,SVC,0.86
15,50,Logistic Regression,0.93
15,50,Naive Bayes,0.76
15,50,Random Forest,0.88
15,50,SVC,0.9
15,100,Logistic Regression,0.9
15,100,Naive Bayes,0.81
15,100,Random Forest,0.9
15,100,SVC,0.9
15,500,Logistic Regression,0.98
15,500,Naive Bayes,0.81
15,500,Random Forest,0.88
15,500,SVC,0.98
15,2000,Logistic Regression,0.98
15,2000,Naive Bayes,0.86
15,2000,Random Forest,0.86
15,2000,SVC,0.98
15,5000,Logistic Regression,0.95
15,5000,Naive Bayes,0.88
15,5000,Random Forest,0.86
15,5000,SVC,0.95
15,All,Logistic Regression,0.79
15,All,Naive Bayes,0.79
15,All,Random Forest,0.79
15,All,SVC,0.76
16,1,Logistic Regression,0.57
16,1,Naive Bayes,0.55
16,1,Random Forest,0.57
16,1,SVC,0.57
16,10,Logistic Regression,0.74
16,10,Naive Bayes,0.79
16,10,Random Forest,0.81
16,10,SVC,0.74
16,50,Logistic Regression,0.9
16,50,Naive Bayes,0.79
16,50,Random Forest,0.83
16,50,SVC,0.93
16,100,Logistic Regression,0.9
16,100,Naive Bayes,0.83
16,100,Random Forest,0.88
16,100,SVC,0.81
16,500,Logistic Regression,0.9
16,500,Naive Bayes,0.86
16,500,Random Forest,0.86
16,500,SVC,0.9
16,2000,Logistic Regression,0.9
16,2000,Naive Bayes,0.88
16,2000,Random Forest,0.88
16,2000,SVC,0.9
16,5000,Logistic Regression,0.9
16,5000,Naive Bayes,0.88
16,5000,Random Forest,0.86
16,5000,SVC,0.9
16,All,Logistic Regression,0.71
16,All,Naive Bayes,0.79
16,All,Random Forest,0.74
16,All,SVC,0.71
17,1,Logistic Regression,0.64
17,1,Naive Bayes,0.52
17,1,Random Forest,0.52
17,1,SVC,0.64
17,10,Logistic Regression,0.81
17,10,Naive Bayes,0.67
17,10,Random Forest,0.83
17,10,SVC,0.79
17,50,Logistic Regression,0.88
17,50,Naive Bayes,0.74
17,50,Random Forest,0.74
17,50,SVC,0.86
17,100,Logistic Regression,0.9
17,100,Naive Bayes,0.79
17,100,Random Forest,0.81
17,100,SVC,0.79
17,500,Logistic Regression,0.93
17,500,Naive Bayes,0.76
17,500,Random Forest,0.86
17,500,SVC,0.9
17,2000,Logistic Regression,0.95
17,2000,Naive Bayes,0.86
17,2000,Random Forest,0.76
17,2000,SVC,0.93
17,5000,Logistic Regression,0.95
17,5000,Naive Bayes,0.88
17,5000,Random Forest,0.74
17,5000,SVC,0.95
17,All,Logistic Regression,0.6
17,All,Naive Bayes,0.67
17,All,Random Forest,0.69
17,All,SVC,0.64
18,1,Logistic Regression,0.67
18,1,Naive Bayes,0.57
18,1,Random Forest,0.67
18,1,SVC,0.67
18,10,Logistic Regression,0.76
18,10,Naive Bayes,0.67
18,10,Random Forest,0.69
18,10,SVC,0.76
18,50,Logistic Regression,0.81
18,50,Naive Bayes,0.64
18,50,Random Forest,0.74
18,50,SVC,0.74
18,100,Logistic Regression,0.9
18,100,Naive Bayes,0.69
18,100,Random Forest,0.79
18,100,SVC,0.81
18,500,Logistic Regression,0.9
18,500,Naive Bayes,0.67
18,500,Random Forest,0.81
18,500,SVC,0.9
18,2000,Logistic Regression,0.95
18,2000,Naive Bayes,0.76
18,2000,Random Forest,0.74
18,2000,SVC,0.93
18,5000,Logistic Regression,0.93
18,5000,Naive Bayes,0.81
18,5000,Random Forest,0.76
18,5000,SVC,0.93
18,All,Logistic Regression,0.55
18,All,Naive Bayes,0.62
18,All,Random Forest,0.62
18,All,SVC,0.55
19,1,Logistic Regression,0.69
19,1,Naive Bayes,0.62
19,1,Random Forest,0.69
19,1,SVC,0.69
19,10,Logistic Regression,0.71
19,10,Naive Bayes,0.64
19,10,Random Forest,0.74
19,10,SVC,0.74
19,50,Logistic Regression,0.76
19,50,Naive Bayes,0.64
19,50,Random Forest,0.69
19,50,SVC,0.81
19,100,Logistic Regression,0.86
19,100,Naive Bayes,0.62
19,100,Random Forest,0.71
19,100,SVC,0.81
19,500,Logistic Regression,0.86
19,500,Naive Bayes,0.67
19,500,Random Forest,0.71
19,500,SVC,0.83
19,2000,Logistic Regression,0.9
19,2000,Naive Bayes,0.71
19,2000,Random Forest,0.71
19,2000,SVC,0.93
19,5000,Logistic Regression,0.88
19,5000,Naive Bayes,0.81
19,5000,Random Forest,0.71
19,5000,SVC,0.86
19,All,Logistic Regression,0.6
19,All,Naive Bayes,0.64
19,All,Random Forest,0.67
19,All,SVC,0.62
20,1,Logistic Regression,0.52
20,1,Naive Bayes,0.52
20,1,Random Forest,0.52
20,1,SVC,0.52
20,10,Logistic Regression,0.76
20,10,Naive Bayes,0.76
20,10,Random Forest,0.76
20,10,SVC,0.79
20,50,Logistic Regression,0.93
20,50,Naive Bayes,0.81
20,50,Random Forest,0.83
20,50,SVC,0.9
20,100,Logistic Regression,0.98
20,100,Naive Bayes,0.86
20,100,Random Forest,0.86
20,100,SVC,0.88
20,500,Logistic Regression,0.95
20,500,Naive Bayes,0.86
20,500,Random Forest,0.83
20,500,SVC,0.95
20,2000,Logistic Regression,0.98
20,2000,Naive Bayes,0.9
20,2000,Random Forest,0.9
20,2000,SVC,0.98
20,5000,Logistic Regression,0.95
20,5000,Naive Bayes,0.9
20,5000,Random Forest,0.9
20,5000,SVC,0.95
20,All,Logistic Regression,0.74
20,All,Naive Bayes,0.76
20,All,Random Forest,0.76
20,All,SVC,0.76
21,1,Logistic Regression,0.55
21,1,Naive Bayes,0.52
21,1,Random Forest,0.55
21,1,SVC,0.55
21,10,Logistic Regression,0.76
