cv_fold,snp_count,model,score
30,500,Random Forest,0.74
30,500,SVC,0.93
30,2000,Logistic Regression,0.93
30,2000,Naive Bayes,0.83
30,2000,Random Forest,0.81
30,2000,SVC,0.9
30,5000,Logistic Regression,0.86
30,5000,Naive Bayes,0.83
30,5000,Random Forest,0.79
30,5000,SVC,0.88
30,All,Logistic Regression,0.6
30,All,Naive Bayes,0.71
30,All,Random Forest,0.67
30,All,SVC,0.62
31,1,Logistic Regression,0.55
31,1,Naive Bayes,0.52
31,1,Random Forest,0.55
31,1,SVC,0.55
31,10,Logistic Regression,0.69
31,10,Naive Bayes,0.62
31,10,Random Forest,0.71
31,10,SVC,0.69
31,50,Logistic Regression,0.83
31,50,Naive Bayes,0.69
31,50,Random Forest,0.79
31,50,SVC,0.81
31,100,Logistic Regression,0.86
31,100,Naive Bayes,0.76
31,100,Random Forest,0.79
31,100,SVC,0.88
31,500,Logistic Regression,0.86
31,500,Naive Bayes,0.74
31,500,Random Forest,0.81
31,500,SVC,0.86
31,2000,Logistic Regression,0.83
31,2000,Naive Bayes,0.79
31,2000,Random Forest,0.81
31,2000,SVC,0.83
31,5000,Logistic Regression,0.86
31,5000,Naive Bayes,0.76
31,5000,Random Forest,0.79
31,5000,SVC,0.86
31,All,Logistic Regression,0.69
31,All,Naive Bayes,0.69
31,All,Random Forest,0.69
31,All,SVC,0.69
32,1,Logistic Regression,0.5
32,1,Naive Bayes,0.48
32,1,Random Forest,0.5
32,1,SVC,0.5
32,10,Logistic Regression,0.9
32,10,Naive Bayes,0.76
32,10,Random Forest,0.83
32,10,SVC,0.88
32,50,Logistic Regression,0.88
32,50,Naive Bayes,0.83
32,50,Random Forest,0.88
32,50,SVC,0.86
32,100,Logistic Regression,0.98
32,100,Naive Bayes,0.83
32,100,Random Forest,0.9
32,100,SVC,0.86
32,500,Logistic Regression,0.93
32,500,Naive Bayes,0.86
32,500,Random Forest,0.88
32,500,SVC,0.93
32,2000,Logistic Regression,0.95
32,2000,Naive Bayes,0.9
32,2000,Random Forest,0.9
32,2000,SVC,0.95
32,5000,Logistic Regression,0.93
32,5000,Naive Bayes,0.9
32,5000,Random Forest,0.93
32,5000,SVC,0.95
32,All,Logistic Regression,0.76
32,All,Naive Bayes,0.79
32,All,Random Forest,0.76
32,All,SVC,0.79
33,1,Logistic Regression,0.52
33,1,Naive Bayes,0.52
33,1,Random Forest,0.52
33,1,SVC,0.52
33,10,Logistic Regression,0.67
33,10,Naive Bayes,0.67
33,10,Random Forest,0.67
33,10,SVC,0.64
33,50,Logistic Regression,0.83
33,50,Naive Bayes,0.71
33,50,Random Forest,0.74
33,50,SVC,0.76
33,100,Logistic Regression,0.86
33,100,Naive Bayes,0.76
33,100,Random Forest,0.76
33,100,SVC,0.79
33,500,Logistic Regression,0.86
33,500,Naive Bayes,0.74
33,500,Random Forest,0.74
33,500,SVC,0.83
33,2000,Logistic Regression,0.9
33,2000,Naive Bayes,0.81
33,2000,Random Forest,0.76
33,2000,SVC,0.83
33,5000,Logistic Regression,0.9
33,5000,Naive Bayes,0.83
33,5000,Random Forest,0.76
33,5000,SVC,0.9
33,All,Logistic Regression,0.57
33,All,Naive Bayes,0.67
33,All,Random Forest,0.64
33,All,SVC,0.6
34,1,Logistic Regression,0.55
34,1,Naive Bayes,0.45
34,1,Random Forest,0.55
34,1,SVC,0.55
34,10,Logistic Regression,0.74
34,10,Naive Bayes,0.69
34,10,Random Forest,0.79
34,10,SVC,0.81
34,50,Logistic Regression,0.86
34,50,Naive Bayes,0.74
34,50,Random Forest,0.76
34,50,SVC,0.86
34,100,Logistic Regression,0.93
34,100,Naive Bayes,0.74
34,100,Random Forest,0.88
34,100,SVC,0.9
34,500,Logistic Regression,0.9
34,500,Naive Bayes,0.74
34,500,Random Forest,0.81
34,500,SVC,0.88
34,2000,Logistic Regression,0.9
34,2000,Naive Bayes,0.81
34,2000,Random Forest,0.76
34,2000,SVC,0.86
34,5000,Logistic Regression,0.9
34,5000,Naive Bayes,0.81
34,5000,Random Forest,0.76
34,5000,SVC,0.88
34,All,Logistic Regression,0.69
34,All,Naive Bayes,0.67
34,All,Random Forest,0.64
34,All,SVC,0.67
35,1,Logistic Regression,0.67
35,1,Naive Bayes,0.62
35,1,Random Forest,0.67
35,1,SVC,0.67
35,10,Logistic Regression,0.9
35,10,Naive Bayes,0.88
35,10,Random Forest,0.86
35,10,SVC,0.95
35,50,Logistic Regression,0.98
35,50,Naive Bayes,0.93
35,50,Random Forest,0.88
35,50,SVC,0.9
35,100,Logistic Regression,0.95
35,100,Naive Bayes,0.9
35,100,Random Forest,0.9
35,100,SVC,0.88
35,500,Logistic Regression,0.88
35,500,Naive Bayes,0.88
35,500,Random Forest,0.9
35,500,SVC,0.88
35,2000,Logistic Regression,1.0
35,2000,Naive Bayes,0.95
35,2000,Random Forest,0.9
35,2000,SVC,0.93
35,5000,Logistic Regression,0.98
35,5000,Naive Bayes,0.93
35,5000,Random Forest,0.93
35,5000,SVC,0.98
35,All,Logistic Regression,0.64
35,All,Naive Bayes,0.83
35,All,Random Forest,0.79
35,All,SVC,0.67
36,1,Logistic Regression,0.6
36,1,Naive Bayes,0.57
36,1,Random Forest,0.6
36,1,SVC,0.6
36,10,Logistic Regression,0.83
36,10,Naive Bayes,0.76
36,10,Random Forest,0.83
36,10,SVC,0.79
36,50,Logistic Regression,0.93
36,50,Naive Bayes,0.81
36,50,Random Forest,0.9
36,50,SVC,0.86
36,100,Logistic Regression,0.9
36,100,Naive Bayes,0.81
36,100,Random Forest,0.93
36,100,SVC,0.9
36,500,Logistic Regression,0.98
36,500,Naive Bayes,0.86
36,500,Random Forest,0.9
36,500,SVC,0.93
36,2000,Logistic Regression,1.0
36,2000,Naive Bayes,0.88
36,2000,Random Forest,0.88
36,2000,SVC,0.98
36,5000,Logistic Regression,1.0
36,5000,Naive Bayes,0.95
36,5000,Random Forest,0.93
36,5000,SVC,1.0
36,All,Logistic Regression,0.76
36,All,Naive Bayes,0.76
36,All,Random Forest,0.76
36,All,SVC,0.79
37,1,Logistic Regression,0.69
37,1,Naive Bayes,0.62
37,1,Random Forest,0.69
37,1,SVC,0.69
37,10,Logistic Regression,0.79
37,10,Naive Bayes,0.76
37,10,Random Forest,0.81
37,10,SVC,0.83
37,50,Logistic Regression,0.86
37,50,Naive Bayes,0.79
37,50,Random Forest,0.81
37,50,SVC,0.81
37,100,Logistic Regression,0.86
37,100,Naive Bayes,0.81
37,100,Random Forest,0.83
37,100,SVC,0.83
37,500,Logistic Regression,0.93
37,500,Naive Bayes,0.83
37,500,Random Forest,0.86
37,500,SVC,0.93
37,2000,Logistic Regression,0.95
37,2000,Naive Bayes,0.86
37,2000,Random Forest,0.83
37,2000,SVC,0.93
37,5000,Logistic Regression,0.9
37,5000,Naive Bayes,0.88
37,5000,Random Forest,0.86
37,5000,SVC,0.9
37,All,Logistic Regression,0.74
37,All,Naive Bayes,0.76
37,All,Random Forest,0.76
37,All,SVC,0.71
38,1,Logistic Regression,0.55
38,1,Naive Bayes,0.6
38,1,Random Forest,0.55
38,1,SVC,0.55
38,10,Logistic Regression,0.71
38,10,Naive Bayes,0.71
38,10,Random Forest,0.83
38,10,SVC,0.76
38,50,Logistic Regression,0.81
38,50,Naive Bayes,0.71
38,50,Random Forest,0.81
38,50,SVC,0.74
38,100,Logistic Regression,0.93
38,100,Naive Bayes,0.79
38,100,Random Forest,0.81
38,100,SVC,0.81
38,500,Logistic Regression,0.88
38,500,Naive Bayes,0.79
38,500,Random Forest,0.86
38,500,SVC,0.88
38,2000,Logistic Regression,0.93
38,2000,Naive Bayes,0.81
38,2000,Random Forest,0.88
38,2000,SVC,0.93
38,5000,Logistic Regression,0.9
38,5000,Naive Bayes,0.86
38,5000,Random Forest,0.86
38,5000,SVC,0.9
38,All,Logistic Regression,0.64
38,All,Naive Bayes,0.74
38,All,Random Forest,0.69
38,All,SVC,0.64
39,1,Logistic Regression,0.62
39,1,Naive Bayes,0.52
39,1,Random Forest,0.62
39,1,SVC,0.62
39,10,Logistic Regression,0.81
39,10,Naive Bayes,0.76
39,10,Random Forest,0.81
39,10,SVC,0.81
39,50,Logistic Regression,0.9
39,50,Naive Bayes,0.76
39,50,Random Forest,0.86
39,50,SVC,0.93
39,100,Logistic Regression,0.88
39,100,Naive Bayes,0.76
39,100,Random Forest,0.83
39,100,SVC,0.86
39,500,Logistic Regression,0.9
39,500,Naive Bayes,0.81
39,500,Random Forest,0.86
39,500,SVC,0.9
39,2000,Logistic Regression,0.93
39,2000,Naive Bayes,0.9
39,2000,Random Forest,0.81
39,2000,SVC,0.9
39,5000,Logistic Regression,0.95
39,5000,Naive Bayes,0.9
39,5000,Random Forest,0.83
39,5000,SVC,0.95
39,All,Logistic Regression,0.64
39,All,Naive Bayes,0.74
39,All,Random Forest,0.74
39,All,SVC,0.62
40,1,Logistic Regression,0.55
40,1,Naive Bayes,0.45
40,1,Random Forest,0.45
40,1,SVC,0.55
40,10,Logistic Regression,0.71
40,10,Naive Bayes,0.71
40,10,Random Forest,0.74
40,10,SVC,0.79
40,50,Logistic Regression,0.81
40,50,Naive Bayes,0.81
40,50,Random Forest,0.83
40,50,SVC,0.86
40,100,Logistic Regression,0.88
40,100,Naive Bayes,0.81
40,100,Random Forest,0.83
40,100,SVC,0.86
40,500,Logistic Regression,0.98
40,500,Naive Bayes,0.81
40,500,Random Forest,0.88
40,500,SVC,0.93
40,2000,Logistic Regression,1.0
40,2000,Naive Bayes,0.9
40,2000,Random Forest,0.9
40,2000,SVC,0.98
40,5000,Logistic Regression,1.0
40,5000,Naive Bayes,0.9
40,5000,Random Forest,0.86
40,5000,SVC,1.0
40,All,Logistic Regression,0.81
40,All,Naive Bayes,0.76
40,All,Random Forest,0.74
40,All,SVC,0.74
41,1,Logistic Regression,0.64
41,1,Naive Bayes,0.67
41,1,Random Forest,0.64
41,1,SVC,0.64
41,10,Logistic Regression,0.76
41,10,Naive Bayes,0.74
41,10,Random Forest,0.69
41,10,SVC,0.79
41,50,Logistic Regression,0.81
41,50,Naive Bayes,0.81
41,50,Random Forest,0.79
41,50,SVC,0.81
41,100,Logistic Regression,0.86
41,100,Naive Bayes,0.83
41,100,Random Forest,0.83
41,100,SVC,0.86
41,500,Logistic Regression,0.93
41,500,Naive Bayes,0.79
41,500,Random Forest,0.86
41,500,SVC,0.9
41,2000,Logistic Regression,0.93
41,2000,Naive Bayes,0.88
41,2000,Random Forest,0.83
41,2000,SVC,0.93
41,5000,Logistic Regression,0.93
41,5000,Naive Bayes,0.88
41,5000,Random Forest,0.88
41,5000,SVC,0.93
41,All,Logistic Regression,0.6
41,All,Naive Bayes,0.69
41,All,Random Forest,0.64
41,All,SVC,0.64
42,1,Logistic Regression,0.64
42,1,Naive Bayes,0.6
42,1,Random Forest,0.64
42,1,SVC,0.64
42,10,Logistic Regression,0.81
42,10,Naive Bayes,0.69
42,10,Random Forest,0.79
42,10,SVC,0.76
42,50,Logistic Regression,0.81
42,50,Naive Bayes,0.76
42,50,Random Forest,0.76
42,50,SVC,0.81
42,100,Logistic Regression,0.86
42,100,Naive Bayes,0.79
42,100,Random Forest,0.86
42,100,SVC,0.83
42,500,Logistic Regression,0.86
42,500,Naive Bayes,0.81
42,500,Random Forest,0.86
42,500,SVC,0.9
42,2000,Logistic Regression,0.95
42,2000,Naive Bayes,0.86
42,2000,Random Forest,0.88
42,2000,SVC,0.95
42,5000,Logistic Regression,0.9
42,5000,Naive Bayes,0.88
42,5000,Random Forest,0.81
42,5000,SVC,0.9
42,All,Logistic Regression,0.64
42,All,Naive Bayes,0.69
42,All,Random Forest,0.69
42,All,SVC,0.69
43,1,Logistic Regression,0.67
43,1,Naive Bayes,0.67
43,1,Random Forest,0.67
43,1,SVC,0.67
43,10,Logistic Regression,0.81
43,10,Naive Bayes,0.79
43,10,Random Forest,0.79
43,10,SVC,0.83
43,50,Logistic Regression,0.93
43,50,Naive Bayes,0.83
43,50,Random Forest,0.86
43,50,SVC,0.9
43,100,Logistic Regression,0.95
43,100,Naive Bayes,0.83
43,100,Random Forest,0.81
43,100,SVC,0.88
43,500,Logistic Regression,0.95
43,500,Naive Bayes,0.86
43,500,Random Forest,0.9
43,500,SVC,0.88
43,2000,Logistic Regression,0.95
43,2000,Naive Bayes,0.88
43,2000,Random Forest,0.88
43,2000,SVC,0.9
43,5000,Logistic Regression,0.98
43,5000,Naive Bayes,0.88
43,5000,Random Forest,0.88
43,5000,SVC,0.98
43,All,Logistic Regression,0.62
43,All,Naive Bayes,0.83
43,All,Random Forest,0.74
43,All,SVC,0.67
44,1,Logistic Regression,0.67
44,1,Naive Bayes,0.67
44,1,Random Forest,0.67
44,1,SVC,0.67
44,10,Logistic Regression,0.76
44,10,Naive Bayes,0.71
44,10,Random Forest,0.74
44,10,SVC,0.74
44,50,Logistic Regression,0.88
44,50,Naive Bayes,0.81
44,50,Random Forest,0.86
44,50,SVC,0.83
44,100,Logistic Regression,0.88
44,100,Naive Bayes,0.79
44,100,Random Forest,0.86
44,100,SVC,0.83
44,500,Logistic Regression,0.93
44,500,Naive Bayes,0.81
44,500,Random Forest,0.81
44,500,SVC,0.93
44,2000,Logistic Regression,0.93
44,2000,Naive Bayes,0.9
44,2000,Random Forest,0.83
44,2000,SVC,0.93
44,5000,Logistic Regression,0.95
44,5000,Naive Bayes,0.9
44,5000,Random Forest,0.88
44,5000,SVC,0.95
44,All,Logistic Regression,0.69
44,All,Naive Bayes,0.74
44,All,Random Forest,0.74
44,All,SVC,0.71
45,1,Logistic Regression,0.6
45,1,Naive Bayes,0.52
45,1,Random Forest,0.6
45,1,SVC,0.6
45,10,Logistic Regression,0.81
45,10,Naive Bayes,0.74
45,10,Random Forest,0.83
45,10,SVC,0.83
45,50,Logistic Regression,0.9
45,50,Naive Bayes,0.74
45,50,Random Forest,0.76
45,50,SVC,0.9
45,100,Logistic Regression,0.83
45,100,Naive Bayes,0.81
45,100,Random Forest,0.79
45,100,SVC,0.81
45,500,Logistic Regression,0.9
45,500,Naive Bayes,0.81
45,500,Random Forest,0.83
45,500,SVC,0.88
45,2000,Logistic Regression,0.9
45,2000,Naive Bayes,0.88
45,2000,Random Forest,0.83
45,2000,SVC,0.9
45,5000,Logistic Regression,0.9
45,5000,Naive Bayes,0.88
45,5000,Random Forest,0.81
45,5000,SVC,0.9
45,All,Logistic Regression,0.64
45,All,Naive Bayes,0.71
45,All,Random Forest,0.67
45,All,SVC,0.69
46,1,Logistic Regression,0.69
46,1,Naive Bayes,0.57
46,1,Random Forest,0.69
46,1,SVC,0.69
46,10,Logistic Regression,0.76
46,10,Naive Bayes,0.76
46,10,Random Forest,0.76
46,10,SVC,0.86
46,50,Logistic Regression,0.86
46,50,Naive Bayes,0.79
46,50,Random Forest,0.83
46,50,SVC,0.88
46,100,Logistic Regression,0.93
46,100,Naive Bayes,0.81
46,100,Random Forest,0.83
46,100,SVC,0.86
46,500,Logistic Regression,0.95
46,500,Naive Bayes,0.81
46,500,Random Forest,0.83
46,500,SVC,0.88
46,2000,Logistic Regression,0.93
46,2000,Naive Bayes,0.83
46,2000,Random Forest,0.86
46,2000,SVC,0.86
46,5000,Logistic Regression,0.93
46,5000,Naive Bayes,0.9
46,5000,Random Forest,0.83
46,5000,SVC,0.95
46,All,Logistic Regression,0.67
46,All,Naive Bayes,0.76
46,All,Random Forest,0.76
46,All,SVC,0.69
47,1,Logistic Regression,0.71
47,1,Naive Bayes,0.69
47,1,Random Forest,0.71
47,1,SVC,0.71
47,10,Logistic Regression,0.93
47,10,Naive Bayes,0.83
47,10,Random Forest,0.93
47,10,SVC,0.9
47,50,Logistic Regression,0.93
47,50,Naive Bayes,0.83
47,50,Random Forest,0.86
47,50,SVC,0.9
47,100,Logistic Regression,0.88
47,100,Naive Bayes,0.83
47,100,Random Forest,0.9
47,100,SVC,0.86
47,500,Logistic Regression,0.9
47,500,Naive Bayes,0.9
47,500,Random Forest,0.95
47,500,SVC,0.88
47,2000,Logistic Regression,0.98
47,2000,Naive Bayes,0.95
47,2000,Random Forest,0.95
47,2000,SVC,0.95
47,5000,Logistic Regression,0.98
47,5000,Naive Bayes,0.93
47,5000,Random Forest,0.9
47,5000,SVC,0.95
47,All,Logistic Regression,0.67
47,All,Naive Bayes,0.86
47,All,Random Forest,0.76
47,All,SVC,0.69
48,1,Logistic Regression,0.6
48,1,Naive Bayes,0.6
48,1,Random Forest,0.6
48,1,SVC,0.6
48,10,Logistic Regression,0.86
48,10,Naive Bayes,0.83
48,10,Random Forest,0.81
48,10,SVC,0.83
48,50,Logistic Regression,0.86
48,50,Naive Bayes,0.88
48,50,Random Forest,0.88
48,50,SVC,0.86
48,100,Logistic Regression,0.95
48,100,Naive Bayes,0.88
48,100,Random Forest,0.9
48,100,SVC,0.88
48,500,Logistic Regression,0.9
48,500,Naive Bayes,0.93
48,500,Random Forest,0.98
48,500,SVC,0.93
48,2000,Logistic Regression,0.95
48,2000,Naive Bayes,0.95
48,2000,Random Forest,0.98
48,2000,SVC,0.95
48,5000,Logistic Regression,0.93
48,5000,Naive Bayes,0.95
48,5000,Random Forest,0.93
48,5000,SVC,0.93
48,All,Logistic Regression,0.76
48,All,Naive Bayes,0.83
48,All,Random Forest,0.79
48,All,SVC,0.74
49,1,Logistic Regression,0.62
49,1,Naive Bayes,0.62
49,1,Random Forest,0.62
49,1,SVC,0.62
49,10,Logistic Regression,0.81
49,10,Naive Bayes,0.79
49,10,Random Forest,0.83
49,10,SVC,0.81
49,50,Logistic Regression,0.95
49,50,Naive Bayes,0.81
49,50,Random Forest,0.93
49,50,SVC,0.86
49,100,Logistic Regression,0.93
49,100,Naive Bayes,0.81
49,100,Random Forest,0.93
49,100,SVC,0.9
49,500,Logistic Regression,0.98
49,500,Naive Bayes,0.83
49,500,Random Forest,0.9
49,500,SVC,0.95
49,2000,Logistic Regression,1.0
49,2000,Naive Bayes,0.88
49,2000,Random Forest,0.88
49,2000,SVC,0.98
49,5000,Logistic Regression,1.0
49,5000,Naive Bayes,0.95
49,5000,Random Forest,0.95
49,5000,SVC,1.0
49,All,Logistic Regression,0.81
49,All,Naive Bayes,0.79
49,All,Random Forest,0.79
49,All,SVC,0.79
50,1,Logistic Regression,0.5
50,1,Naive Bayes,0.48
50,1,Random Forest,0.5
50,1,SVC,0.5
50,10,Logistic Regression,0.67
50,10,Naive Bayes,0.69
50,10,Random Forest,0.64
50,10,SVC,0.69
50,50,Logistic Regression,0.79
50,50,Naive Bayes,0.76
50,50,Random Forest,0.71
50,50,SVC,0.79
50,100,Logistic Regression,0.76
50,100,Naive Bayes,0.81
50,100,Random Forest,0.69
50,100,SVC,0.74
50,500,Logistic Regression,0.93
50,500,Naive Bayes,0.76
50,500,Random Forest,0.76
50,500,SVC,0.86
50,2000,Logistic Regression,0.95
50,2000,Naive Bayes,0.81
50,2000,Random Forest,0.76
50,2000,SVC,0.9
50,5000,Logistic Regression,0.95
50,5000,Naive Bayes,0.88
50,5000,Random Forest,0.79
50,5000,SVC,0.95
50,All,Logistic Regression,0.6
50,All,Naive Bayes,0.71
50,All,Random Forest,0.67
50,All,SVC,0.62
51,1,Logistic Regression,0.55
51,1,Naive Bayes,0.52
51,1,Random Forest,0.55
51,1,SVC,0.55
51,10,Logistic Regression,0.79
51,10,Naive Bayes,0.74
51,10,Random Forest,0.81
51,10,SVC,0.81
51,50,Logistic Regression,0.95
51,50,Naive Bayes,0.81
51,50,Random Forest,0.88
51,50,SVC,0.95
51,100,Logistic Regression,0.9
51,100,Naive Bayes,0.79
51,100,Random Forest,0.86
51,100,SVC,0.86
51,500,Logistic Regression,0.93
51,500,Naive Bayes,0.83
51,500,Random Forest,0.83
51,500,SVC,0.9
51,2000,Logistic Regression,0.9
51,2000,Naive Bayes,0.88
51,2000,Random Forest,0.88
51,2000,SVC,0.93
51,5000,Logistic Regression,0.9
51,5000,Naive Bayes,0.9
51,5000,Random Forest,0.83
51,5000,SVC,0.88
51,All,Logistic Regression,0.69
51,All,Naive Bayes,0.74
51,All,Random Forest,0.74
51,All,SVC,0.67
52,1,Logistic Regression,0.45
52,1,Naive Bayes,0.43
52,1,Random Forest,0.55
52,1,SVC,0.55
52,10,Logistic Regression,0.69
52,10,Naive Bayes,0.71
52,10,Random Forest,0.74
52,10,SVC,0.71
52,50,Logistic Regression,0.88
52,50,Naive Bayes,0.71
52,50,Random Forest,0.71
52,50,SVC,0.83
52,100,Logistic Regression,0.83
52,100,Naive Bayes,0.71
52,100,Random Forest,0.71
52,100,SVC,0.76
52,500,Logistic Regression,0.83
52,500,Naive Bayes,0.71
52,500,Random Forest,0.69
52,500,SVC,0.79
52,2000,Logistic Regression,0.88
52,2000,Naive Bayes,0.81
52,2000,Random Forest,0.76
52,2000,SVC,0.86
52,5000,Logistic Regression,0.86
52,5000,Naive Bayes,0.88
52,5000,Random Forest,0.74
52,5000,SVC,0.88
52,All,Logistic Regression,0.6
52,All,Naive Bayes,0.71
52,All,Random Forest,0.64
52,All,SVC,0.64
53,1,Logistic Regression,0.64
53,1,Naive Bayes,0.62
53,1,Random Forest,0.64
53,1,SVC,0.64
53,10,Logistic Regression,0.86
53,10,Naive Bayes,0.79
53,10,Random Forest,0.83
53,10,SVC,0.83
53,50,Logistic Regression,0.86
53,50,Naive Bayes,0.76
53,50,Random Forest,0.79
53,50,SVC,0.81
53,100,Logistic Regression,0.9
53,100,Naive Bayes,0.79
53,100,Random Forest,0.81
53,100,SVC,0.86
53,500,Logistic Regression,0.9
53,500,Naive Bayes,0.79
53,500,Random Forest,0.81
53,500,SVC,0.93
53,2000,Logistic Regression,0.98
53,2000,Naive Bayes,0.86
53,2000,Random Forest,0.88
53,2000,SVC,0.93
53,5000,Logistic Regression,0.98
53,5000,Naive Bayes,0.81
53,5000,Random Forest,0.86
53,5000,SVC,0.98
53,All,Logistic Regression,0.67
53,All,Naive Bayes,0.76
53,All,Random Forest,0.74
53,All,SVC,0.69
54,1,Logistic Regression,0.71
54,1,Naive Bayes,0.69
54,1,Random Forest,0.71
54,1,SVC,0.71
54,10,Logistic Regression,0.71
54,10,Naive Bayes,0.69
54,10,Random Forest,0.79
54,10,SVC,0.74
54,50,Logistic Regression,0.86
54,50,Naive Bayes,0.74
54,50,Random Forest,0.79
54,50,SVC,0.81
54,100,Logistic Regression,0.9
54,100,Naive Bayes,0.81
54,100,Random Forest,0.81
54,100,SVC,0.86
54,500,Logistic Regression,0.9
54,500,Naive Bayes,0.79
54,500,Random Forest,0.88
54,500,SVC,0.88
54,2000,Logistic Regression,0.98
54,2000,Naive Bayes,0.88
54,2000,Random Forest,0.86
54,2000,SVC,0.95
54,5000,Logistic Regression,0.95
54,5000,Naive Bayes,0.9
54,5000,Random Forest,0.83
54,5000,SVC,0.95
54,All,Logistic Regression,0.71
54,All,Naive Bayes,0.74
54,All,Random Forest,0.71
54,All,SVC,0.71
55,1,Logistic Regression,0.57
55,1,Naive Bayes,0.57
55,1,Random Forest,0.57
55,1,SVC,0.57
55,10,Logistic Regression,0.76
55,10,Naive Bayes,0.71
55,10,Random Forest,0.79
55,10,SVC,0.79
55,50,Logistic Regression,0.88
55,50,Naive Bayes,0.83
55,50,Random Forest,0.86
55,50,SVC,0.86
55,100,Logistic Regression,0.95
55,100,Naive Bayes,0.86
55,100,Random Forest,0.83
55,100,SVC,0.9
55,500,Logistic Regression,0.98
55,500,Naive Bayes,0.86
55,500,Random Forest,0.88
55,500,SVC,0.93
55,2000,Logistic Regression,0.98
55,2000,Naive Bayes,0.88
55,2000,Random Forest,0.9
55,2000,SVC,0.95
55,5000,Logistic Regression,0.98
55,5000,Naive Bayes,0.88
55,5000,Random Forest,0.9
55,5000,SVC,0.95
55,All,Logistic Regression,0.69
55,All,Naive Bayes,0.79
55,All,Random Forest,0.79
55,All,SVC,0.69
56,1,Logistic Regression,0.5
56,1,Naive Bayes,0.5
56,1,Random Forest,0.5
56,1,SVC,0.5
56,10,Logistic Regression,0.81
56,10,Naive Bayes,0.64
56,10,Random Forest,0.83
56,10,SVC,0.79
56,50,Logistic Regression,0.88
56,50,Naive Bayes,0.71
56,50,Random Forest,0.76
56,50,SVC,0.88
56,100,Logistic Regression,0.88
56,100,Naive Bayes,0.74
56,100,Random Forest,0.81
56,100,SVC,0.79
56,500,Logistic Regression,0.9
56,500,Naive Bayes,0.76
56,500,Random Forest,0.88
56,500,SVC,0.9
56,2000,Logistic Regression,1.0
56,2000,Naive Bayes,0.79
56,2000,Random Forest,0.83
56,2000,SVC,1.0
56,5000,Logistic Regression,0.95
56,5000,Naive Bayes,0.83
56,5000,Random Forest,0.76
56,5000,SVC,0.93
56,All,Logistic Regression,0.69
56,All,Naive Bayes,0.67
56,All,Random Forest,0.67
56,All,SVC,0.62
57,1,Logistic Regression,0.57
57,1,Naive Bayes,0.55
57,1,Random Forest,0.57
57,1,SVC,0.57
57,10,Logistic Regression,0.71
57,10,Naive Bayes,0.69
57,10,Random Forest,0.71
57,10,SVC,0.69
57,50,Logistic Regression,0.86
57,50,Naive Bayes,0.69
57,50,Random Forest,0.79
57,50,SVC,0.88
57,100,Logistic Regression,0.9
57,100,Naive Bayes,0.67
57,100,Random Forest,0.79
57,100,SVC,0.81
57,500,Logistic Regression,0.93
57,500,Naive Bayes,0.67
57,500,Random Forest,0.74
57,500,SVC,0.95
57,2000,Logistic Regression,0.9
57,2000,Naive Bayes,0.79
57,2000,Random Forest,0.81
57,2000,SVC,0.9
57,5000,Logistic Regression,0.86
57,5000,Naive Bayes,0.79
57,5000,Random Forest,0.71
57,5000,SVC,0.86
57,All,Logistic Regression,0.62
57,All,Naive Bayes,0.64
57,All,Random Forest,0.64
57,All,SVC,0.62
58,1,Logistic Regression,0.62
58,1,Naive Bayes,0.6
58,1,Random Forest,0.62
58,1,SVC,0.62
58,10,Logistic Regression,0.83
58,10,Naive Bayes,0.76
58,10,Random Forest,0.83
58,10,SVC,0.81
58,50,Logistic Regression,0.86
58,50,Naive Bayes,0.76
58,50,Random Forest,0.86
58,50,SVC,0.88
58,100,Logistic Regression,0.95
58,100,Naive Bayes,0.81
58,100,Random Forest,0.88
58,100,SVC,0.88
58,500,Logistic Regression,0.88
58,500,Naive Bayes,0.83
58,500,Random Forest,0.88
58,500,SVC,0.9
58,2000,Logistic Regression,0.9
58,2000,Naive Bayes,0.86
58,2000,Random Forest,0.81
58,2000,SVC,0.9
58,5000,Logistic Regression,0.95
58,5000,Naive Bayes,0.86
58,5000,Random Forest,0.88
58,5000,SVC,0.93
58,All,Logistic Regression,0.64
58,All,Naive Bayes,0.76
58,All,Random Forest,0.74
58,All,SVC,0.71
59,1,Logistic Regression,0.38
59,1,Naive Bayes,0.4
59,1,Random Forest,0.38
59,1,SVC,0.38
59,10,Logistic Regression,0.79
59,10,Naive Bayes,0.69
59,10,Random Forest,0.74
59,10,SVC,0.79
59,50,Logistic Regression,0.88
59,50,Naive Bayes,0.76
59,50,Random Forest,0.83
59,50,SVC,0.86
59,100,Logistic Regression,0.93
59,100,Naive Bayes,0.76
59,100,Random Forest,0.81
59,100,SVC,0.88
59,500,Logistic Regression,0.88
59,500,Naive Bayes,0.79
59,500,Random Forest,0.79
59,500,SVC,0.86
59,2000,Logistic Regression,0.95
59,2000,Naive Bayes,0.9
59,2000,Random Forest,0.83
59,2000,SVC,0.93
59,5000,Logistic Regression,0.93
59,5000,Naive Bayes,0.88
59,5000,Random Forest,0.79
59,5000,SVC,0.88
59,All,Logistic Regression,0.71
59,All,Naive Bayes,0.74
59,All,Random Forest,0.69
59,All,SVC,0.69
60,1,Logistic Regression,0.6
60,1,Naive Bayes,0.62
60,1,Random Forest,0.6
60,1,SVC,0.6
60,10,Logistic Regression,0.83
