model,accuracy_cv1,accuracy_cv2,accuracy_cv3,accuracy_cv4,accuracy_cv5,accuracy_mean,accuracy_sd,accuracy_group,f1_cv1,f1_cv2,f1_cv3,f1_cv4,f1_cv5,f1_mean,f1_sd,f1_group,model_complexity,test_accuracy,test_f1
AlexNet,0.9,0.91,0.87,0.9,0.86,0.89,0.02,ab,0.9,0.9,0.87,0.9,0.84,0.88,0.02,ab,37315329,0.876,0.868
VGG16,0.89,0.91,0.9,0.9,0.91,0.9,0.0,a,0.9,0.89,0.9,0.9,0.9,0.9,0.0,a,134264641,0.953,0.952
ResNet50,0.87,0.87,0.87,0.9,0.85,0.87,0.01,b,0.87,0.83,0.87,0.9,0.85,0.86,0.02,b,451365889,0.939,0.94
ResNet101,0.85,0.89,0.88,0.88,0.85,0.87,0.01,b,0.85,0.85,0.87,0.88,0.85,0.86,0.01,b,470384129,0.95,0.949
InceptionV3,0.88,0.9,0.88,0.91,0.88,0.89,0.01,ab,0.89,0.88,0.88,0.92,0.88,0.89,0.01,ab,248273057,0.92,0.916
DenseNet121,0.88,0.89,0.86,0.9,0.87,0.88,0.01,ab,0.88,0.85,0.86,0.9,0.86,0.87,0.02,ab,229264257,0.925,0.921
